num lignes wdiff;amendement
2;2631000
6;10931000
6;2641000
7;10941000
7;2651000
7;8591000
20;2681000
21;2691000
22;2691000
47;10991001
47;2711001
29;8651000
30;8651000
31;8651000
32;8651000
33;8651000
34;8651000
39;8651002
49;10991003
49;2711003
48;10991002
48;2711002
35;8651001
36;8651001
37;8651001
38;8651001
28;8301000
44;10991000
44;2711000
45;10991000
45;2711000
46;10991000
46;2711000
26;2701000
56;2011000
56;2721000
59;11021000
59;2741000
62;11031000
62;2751000
57;2731000
63;2761000
70;10831000
70;11761000
71;10831000
71;11761000
72;10831000
72;11761000
68;2771000
74;2781000
76;2791000
81;2801000
83;10851000
84;10851000
83;11771000
84;11771000
85;10851000
85;11771000
86;2811000
88;2821000
99;10841001
99;11751001
107;10841009
107;11751009
103;10841005
103;11751005
106;10841008
106;11751008
104;10841006
104;11751006
105;10841007
105;11751007
97;10881000
97;11801000
100;10841002
100;11751002
101;10841003
101;11751003
102;10841004
102;11751004
98;10841000
98;11751000
95;10871000
95;11791000
94;10861000
94;11781000
